"Data Source","World Development Indicators",

"Last Updated Date","2026-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Rural population growth (annual %)","SP.RUR.TOTL.ZG","","1.06957618248287","0.984281443232534","0.65949562181795","0.358291808039204","0.107668134176408","-0.155078862819138","-0.627069756465367","-1.09486164891454","-1.33341195897609","-1.52729427174952","-1.66564331383545","-2.63644236793459","-0.91826271208301","-1.21515153541611","-1.30321830868147","-0.970215372266001","-0.582717698273554","-0.431816032694605","0.154079406212633","0.904759836593571","1.04287463812741","1.25842617106242","1.70251376119523","1.2966450575613","-1.61870652756551","-2.67297905934432","-1.01861801407198","0.554670706651787","2.07821076935048","3.92059612797931","4.97731463705956","4.64083617617831","6.57886814935151","5.18361564992109","2.81884557208078","3.95950831479327","3.88232683035581","2.4721176965293","1.37463665636986","1.05058459642858","0.989196741138054","0.84507987655861","1.37941792069942","2.45044566311052","2.96342150169134","2.21421926159065","1.19639387223475","1.22690591063692","1.14309154671829","0.68182707164135","1.19024705939866","1.95190925397688","2.005666086121","1.61089783385178","1.5979610157403","1.35923693669535","0.6295252276165","0.79975818464172","0.931918627583878","0.189223995715084","-0.622388472195064","-0.24173179554936","0.166100822282021","0.707713595050703",
"Africa Eastern and Southern","AFE","Rural population growth (annual %)","SP.RUR.TOTL.ZG","","2.35791270154063","2.40512412237781","2.42321606318744","2.4702159307681","2.49526805966288","2.48062460213597","2.50921624689215","2.54577497962368","2.52552376294615","2.50344677263184","2.47653982971662","2.39967978322493","2.46180650411879","2.52278263144609","2.47514746065003","2.48505559403406","2.40491417119577","2.57482199950974","2.71505592640976","2.56379022128168","2.68340585934802","2.80455386049102","2.6592709396167","2.49559899599995","2.41800327438049","2.33968732554373","2.30985296848564","2.20640722965875","2.13239957565886","2.22090354573226","2.21095227242091","2.22083615816033","2.33984518112763","2.1548934901574","2.15189803001923","2.32175793305408","2.22923793052237","2.17644979187471","2.18369874971202","2.13284524560225","2.08013572178429","2.05897168776767","2.02673860626241","2.00147260677601","2.01354070952273","2.0192881787295","2.14610377463422","2.01301563047218","2.16175973361264","2.2162222445636","2.16742869223017","2.17232793596747","2.1760985270522","2.08369134787941","2.06820680554863","2.04281530315537","2.02316651483797","2.06492164226965","2.12472286839411","2.08578219597539","1.98559753494512","1.87369957333621","1.85970619417547","1.71603630062542",
"Afghanistan","AFG","Rural population growth (annual %)","SP.RUR.TOTL.ZG","","1.6711667341721","1.74599946065668","1.7981346668468","1.84393619319603","1.90462866458351","1.92708246309033","1.94890432417434","1.98600106972217","1.99935410692503","2.01617320761024","1.93584726220994","1.87954964542435","1.92988400663145","1.9028829060936","1.79548960136909","1.62180304978838","1.58898335061845","1.54701604609026","-0.0357676571119053","-3.91405914873231","-10.0843021312553","-8.50045741693757","-0.892293599129121","2.25869507623343","1.90441358966505","-0.233543579571979","-0.44519353505513","1.03007775386086","2.85378360006795","1.29506271025818","1.45511163192374","8.02132187938671","11.6711094475921","8.24932238913302","4.74879974123624","3.85283756326487","3.64200855040752","3.58999728591521","3.53895995426449","1.00626577500682","0.537004384226762","5.00558594344837","5.87491732517008","3.2793475622072","3.13815947474392","3.58760420154864","1.28969532760321","1.51245778093844","2.92825471522151","2.20038725807498","2.9697133464552","3.36808380023999","2.81072936684623","3.12817548723893","2.75801064402466","2.27865500527118","2.57386531009509","2.69254085395937","2.79145867999448","2.99519897595976","2.24143116210277","1.37398004107876","2.02947825567516","2.53060155413216",
"Africa Western and Central","AFW","Rural population growth (annual %)","SP.RUR.TOTL.ZG","","1.49545531555778","1.48762809577041","1.49118481628654","1.47359393675193","1.46963967849285","1.47554392978324","1.46962536326978","1.49132583999356","1.52277891551599","1.56572111120642","1.57243468791519","1.57628790883278","1.61629807709101","1.67553910908059","1.7474217498027","1.74096666953102","1.77134950287743","1.88294526096566","1.95707133049288","1.94894909438248","1.95562830490869","2.0286646519176","1.86955641762357","1.76155235212946","1.85974207959083","1.9275167169407","1.80597514955624","1.87726642580798","1.90078406472623","1.79933068437534","1.60880401581567","1.9095669730017","1.86878198226174","1.83611053659263","1.89861941860166","1.85273296211818","1.79709571651253","1.82028515506193","1.78250506559888","1.78593379048687","1.81466925085281","1.82083410745672","1.81592365552252","1.82111275358495","1.81901833838381","1.78313178175606","1.82257857090657","1.82511662123338","1.77459105944498","1.75242976538869","1.78119901611021","1.72553877735314","1.66675104354419","1.64924694838326","1.5980963049453","1.57606533363953","1.51365096113295","1.41419772606197","1.30477146167705","1.21236471701124","1.15290259057238","1.07914860494056","1.13411941119706","1.18262215511005",
"Angola","AGO","Rural population growth (annual %)","SP.RUR.TOTL.ZG","","0.854148209246521","0.54406568152636","0.580841387410916","0.615757071157507","0.639128075123416","0.643769461786528","0.624726533886132","0.58314846172147","0.522087017970476","0.925913210904853","1.64711426857227","2.19948139233479","2.47824639581645","2.40934028571327","2.25136126146979","2.06199557939989","2.0089227169206","2.00876956068163","1.94661255445985","1.93908378089287","1.91083014528616","1.86907199024654","1.83557430118733","1.76021523351464","1.67421517310996","1.56267040216959","1.37458502797718","1.26949540966952","1.2553890319386","1.21826898436927","1.18125015904243","1.104971740026","1.04841881952475","1.13094603881089","1.19253810105045","1.12544147088386","1.04889849960998","0.929735107160551","0.829836988053919","0.822895044978524","0.867322648487176","0.953824806604885","1.1050584706647","1.30703601032502","1.49798477905007","1.63237648295883","1.72126644934395","1.7970423349397","1.86980469769164","1.97880183736965","2.08561939686926","2.1622281307828","2.22101908702356","2.16287350214533","1.45600127180061","1.40540362085525","1.31488532902077","1.16998916835366","1.044067273663","0.860280732324476","0.706223261475863","0.596663297511369","0.458858798452888","0.342441556900719",
"Albania","ALB","Rural population growth (annual %)","SP.RUR.TOTL.ZG","","2.91718221988115","2.92566669025857","2.85700052186438","2.80688229656223","2.69141523009564","2.57148327538688","2.55495689031278","2.74339537076293","2.75985968691863","2.36261469212389","2.18253042595476","2.21274954342964","2.04805549907527","1.95999248892668","1.95084434189126","1.85467816391898","1.86630620658305","1.74562869249005","1.68630924069686","1.76621521608668","1.73750333750478","1.85515142449401","1.86228056243524","1.83663390156712","1.77194550533699","1.62417928535674","1.65464492084491","1.5024443899815","2.25042614159403","1.28549043634934","-1.20575728584519","-1.29310698173272","-1.37663663398744","-1.45646381451267","-1.53267823529226","-1.60503368563267","-1.67381133189027","-1.73870147173347","-1.79977846998099","-1.85671468768049","-2.2155707329575","-1.69305705466938","-1.92972538101253","-2.12800466657581","-2.37421149629505","-2.64404597198557","-2.91794245845622","-3.07728571521323","-3.13030649835701","-3.09818574956454","-3.24344604170071","-2.7753688571669","-2.48877145985661","-2.49860225517684","-2.48724612424016","-2.47500332766355","-2.46213077383307","-2.44848098130068","-2.43397957645058","-2.41882213310069","-2.40275804939245","-2.38599151249944","-2.36825837676933","-2.3498730988267",
"Andorra","AND","Rural population growth (annual %)","SP.RUR.TOTL.ZG","","3.50651366601263","2.81912416990535","2.1157347725711","1.40896198467985","0.685716972613705","0.681046900252688","1.14724011622368","0.846330218710355","-0.0665557428894454","-0.936461693104286","-1.80836754332954","-2.65819418698894","-3.47985540510621","-4.38786461243394","-5.28149786781317","-6.19947826069255","-7.12694803245434","-7.97120745080182","-8.69813248491638","-9.21057989458129","-9.10094373154698","-7.50745583468013","-5.02618347808883","-2.28411121626096","1.34698968493579","4.31582128906348","4.45549329981542","4.2219111606358","3.38000089514929","14.6852037782413","15.7311058594312","11.231948598213","9.11406115675999","5.46934329102959","1.82924687248294","2.83147251678611","3.81640029457578","3.93054266100646","3.74108464425997","3.70449807347072","4.79754315111797","6.21114635434877","9.77244620089185","11.8386139887525","9.81563043663993","8.34793407886526","5.89182377864572","2.94526783515493","1.33392683592273","-3.11490808112175","-3.05580887062791","-0.695754161057045","-1.74339115135887","-1.63216210570092","-1.91233268784542","0.144700374940557","2.20470110861251","1.79890378360733","1.45954438346884","0.716197002129214","0.632341763769099","0.885308634304371","0.855418202886056","0.738417418159631",
"Arab World","ARB","Rural population growth (annual %)","SP.RUR.TOTL.ZG","","1.48376474293592","1.43020765777774","1.45972169944121","1.50620852929501","1.57506142482074","1.72189239529951","1.8270066612392","1.82030256038115","1.81866994119326","1.80006678939362","1.79412250909248","1.78035853814237","1.94798945414169","2.01903327477119","2.15010482123883","2.30247031083713","2.2391053624245","2.40446087059896","2.63989705686215","2.53118074320105","2.16537627880985","2.06239869271668","2.14629413298744","2.01269051791247","1.898534298761","1.85147172745283","1.81020881742746","1.63820831386497","1.58875635258626","2.32371904871402","1.59594000980234","1.66345868711571","2.16750449002172","2.21314818375495","2.06720297008281","1.93732642340328","1.8553534063842","1.88623089061409","1.8536484068024","1.83174872710711","1.79856628692542","1.74662221911323","1.68049511162232","1.65605861086436","1.68481374171039","1.69967004131039","1.7605797878063","1.75522179155717","1.69669440457511","1.47296276551054","1.26615334349613","0.757517412579702","0.67132271474118","1.27136323727823","1.68335671485227","1.81071311754017","1.71964625537449","1.52612994822503","1.6109104492005","1.63063216150715","1.45932237596566","1.75434053526655","1.67381908619498","1.53580747790456",
"United Arab Emirates","ARE","Rural population growth (annual %)","SP.RUR.TOTL.ZG","","0.9408537024332","1.1743036148119","1.37177895311189","1.46538911982363","1.34445307695343","0.918447791453948","0.144250058404267","7.2577633176989","14.9187572894667","14.023693574952","11.6470806631908","10.0411898764324","9.09698265806572","8.75064797506367","8.99328934431886","12.7977507739462","17.1924953946839","17.5487841432364","16.6596641880679","14.4496592849028","10.3163496709725","7.66104209229894","7.28902426857423","6.87413836056149","6.41766939915811","7.18145782661941","7.8649307199896","7.41299636682642","6.98569510428186","6.57389714876572","6.17082085637274","5.77039524876998","5.36615853854409","4.95382627870903","4.61592601599159","6.42516890600794","7.60269974836554","6.62526903015826","5.72346436550368","4.88538044802214","4.13129045298644","3.45590365546802","2.80904574471987","2.1754423445695","1.11519057139663","5.15341784077597","10.438309334649","10.1720855002341","5.01215969868214","1.19518493437095","2.16100166326351","2.76620761005079","2.81261556823714","3.47380161755364","4.21302093104562","3.76908385637289","2.02275318052855","0.190418582175322","-0.0723899019425971","-1.58787351189575","0.737123686104976","4.00660552691674","2.91298761379646","3.63778887848018",
"Argentina","ARG","Rural population growth (annual %)","SP.RUR.TOTL.ZG","","-0.893599235585574","-1.05479871407409","-1.2093375256274","-1.35028048144893","-1.46685376682386","-1.52741019210882","-1.51348671550988","-1.43510247689983","-1.29621741794581","-1.062636343908","-0.843725605499168","-0.696534713818337","-0.558849252070341","-0.449945832862702","-0.431418300335396","-0.44746903450375","-0.433062501216311","-0.455203105579661","-0.530797842652769","-0.649790085704424","-0.789994977990829","-0.947589420052031","-1.08079852352307","-1.19094499762431","-1.27735948382945","-1.32317263061824","-1.31933080255316","-1.25266824348115","-1.15635919834737","-1.02327720608778","-0.845541618125444","-0.722602498692406","-0.656982419380743","-0.58393065141389","-0.541179898193574","-0.536893447341831","-0.539401223604898","-0.55638244141488","-0.576321549328484","-0.614735291155483","-0.694355889412246","-0.766172086923069","-0.811647662037068","-0.830119644403726","-0.814914223128593","-0.811041728143396","-0.84368239020414","-0.81594938458344","-0.761524953535102","-0.836371199274107","-0.211551189460391","-0.0678751414628083","-0.119742882821164","-0.078998684357848","-0.0604862921588565","-0.134752661641149","-0.217187248728344","-0.269088634339557","-0.373575764592926","-0.590909970072964","-0.799543723729226","-0.843061634646853","-0.753967093261385","-0.680748776380814",
